"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
2,NULL,NULL,NULL,"613","523","MSL"
2,NULL,NULL,NULL,"167.94","640.08",NULL
2,NULL,NULL,NULL,"139.29","893.06",NULL
1,NULL,NULL,NULL,"1303",NULL,NULL
1,NULL,NULL,NULL,"-2390",NULL,NULL
2,NULL,NULL,NULL,"1699.01",NULL,NULL
2,NULL,NULL,NULL,"-3899",NULL,NULL
2,NULL,NULL,NULL,"705","551","MSL"
2,NULL,NULL,NULL,"150.27","463.3",NULL
2,NULL,NULL,NULL,"131.98","796.75",NULL
2,NULL,NULL,NULL,"187.15","694.94",NULL
2,NULL,NULL,NULL,"175.26","-238.66",NULL
2,NULL,NULL,NULL,"-4",NULL,NULL
2,NULL,NULL,NULL,"585","489","MSL"
2,NULL,NULL,NULL,"150.88","694.94",NULL
2,NULL,NULL,NULL,"575","255","MSL"
2,NULL,NULL,NULL,"46.33","-1086",NULL
2,NULL,NULL,NULL,"115.52","1149.4",NULL
1,NULL,NULL,NULL,"-3062",NULL,NULL
1,NULL,NULL,NULL,"-1166",NULL,NULL
2,NULL,NULL,NULL,"60.66","5640.93",NULL
2,NULL,NULL,NULL,"168.86","694.94",NULL
1,NULL,NULL,NULL,"-1534","-1534",NULL
2,NULL,NULL,NULL,"117.35","1112.52",NULL
2,NULL,NULL,NULL,"348",NULL,NULL
2,NULL,NULL,NULL,"137.16","527.3",NULL
2,NULL,NULL,NULL,"240","-244","MSL"
2,NULL,NULL,NULL,"-2467",NULL,NULL
1,NULL,NULL,NULL,"-2632",NULL,NULL
2,NULL,NULL,NULL,"-6062",NULL,NULL
1,NULL,NULL,NULL,"-1955",NULL,NULL
2,NULL,NULL,NULL,"122.53","618.74",NULL
2,NULL,NULL,NULL,"182.5","-337.5","MSL"
2,NULL,NULL,NULL,"-2656.1",NULL,NULL
2,NULL,NULL,NULL,"1205.44","1155.44","MSL"
2,NULL,NULL,NULL,"121.62","713.23",NULL
1,NULL,NULL,NULL,"2197",NULL,NULL
2,NULL,NULL,NULL,"194.7","-1782.3","MSL"
1,NULL,NULL,NULL,"-1342.4",NULL,NULL
1,NULL,"550",NULL,NULL,NULL,NULL
2,"40","50","cm",NULL,NULL,NULL
1,NULL,NULL,NULL,"-134",NULL,NULL
2,NULL,NULL,NULL,"74.98","1507.24",NULL
2,NULL,NULL,NULL,"109.12","4328.16",NULL
2,NULL,NULL,NULL,"219.46","1127.76",NULL
2,NULL,NULL,NULL,"-4637",NULL,NULL
1,NULL,NULL,NULL,"397",NULL,NULL
2,NULL,NULL,NULL,"64.92","4675.63",NULL
2,NULL,NULL,NULL,"260",NULL,NULL
2,NULL,NULL,NULL,"148.44","591.31",NULL
2,NULL,NULL,NULL,"146.91","525.78",NULL
2,NULL,NULL,NULL,"62.48","694.33",NULL
1,NULL,NULL,NULL,"-2855",NULL,NULL
1,NULL,NULL,NULL,"-107",NULL,NULL
2,NULL,NULL,NULL,"136.55","1149.1",NULL
1,NULL,NULL,NULL,"-1792.509704",NULL,NULL
2,NULL,NULL,NULL,"-1737",NULL,NULL
1,NULL,NULL,NULL,"2286",NULL,NULL
2,NULL,NULL,NULL,"-2413.5",NULL,NULL
2,NULL,NULL,NULL,"457","315","MSL"
1,"130","140","cm","404",NULL,NULL
2,NULL,NULL,NULL,"-2477.4",NULL,NULL
2,NULL,NULL,NULL,"27.43","4755.79",NULL
2,NULL,NULL,NULL,"49.38","2593.85",NULL
2,NULL,NULL,NULL,"104.24","-947.32",NULL
2,NULL,NULL,NULL,"147.52","701.04",NULL
2,NULL,NULL,NULL,"108.81","441.96",NULL
2,NULL,NULL,NULL,"-3823",NULL,NULL
1,NULL,NULL,NULL,"-143.3",NULL,NULL
2,NULL,NULL,NULL,"60.96","1310.64",NULL
2,NULL,NULL,NULL,"120.4","858.01",NULL
2,NULL,NULL,NULL,"323.4",NULL,NULL
2,NULL,NULL,NULL,"42.37","1134.47",NULL
2,NULL,NULL,NULL,"127.41","347.47",NULL
2,NULL,NULL,NULL,"158.19","527.3",NULL
1,NULL,NULL,NULL,"-2388.548",NULL,NULL
1,NULL,NULL,NULL,"-4885",NULL,NULL
1,"70","80","cm","620",NULL,NULL
2,NULL,NULL,NULL,"77.72","2442.97",NULL
2,NULL,NULL,NULL,"121.92","890.02",NULL
2,NULL,NULL,NULL,"74.37","4117.24",NULL
2,NULL,NULL,NULL,"77.11","-3280.26",NULL
2,NULL,NULL,NULL,"-2513",NULL,NULL
2,NULL,NULL,NULL,"97.54","3497.28",NULL
2,NULL,NULL,NULL,"285","-18581",NULL
2,NULL,NULL,NULL,"211.53","-218.24",NULL
1,NULL,NULL,NULL,"498",NULL,NULL
2,NULL,NULL,NULL,"128.93","310.29",NULL
2,NULL,NULL,NULL,"55.78","1075.94",NULL
2,NULL,NULL,NULL,"138.38","528.83",NULL
2,NULL,NULL,NULL,"-470",NULL,NULL
