sample_type_id,sample_type_uri,label,description,parent_uri,parent_sample_type_id,scheme_uri,scheme_name
16,https://w3id.org/isample/earthenv/esmaterialsample/trawl,Trawl,an aggregation of biogenic or non-biogenic material extracted from a water body,https://w3id.org/isample/vocabulary/materialsampleobjecttype/genericaggregation,100,,
18,https://w3id.org/isample/earthenv/esmaterialsample/uchannelsample,U-channel sample,a rectangular prism of loosely consolidated sediment extracted from a core segment. has parent core piece or core segment,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
19,https://w3id.org/isample/earthenv/esmaterialsample/slab,Slab,"a relatively planar rock sample, cut from a larger sample to produce a tabular peice of rock with the irregular outline of the original sample on the diameter where the cut was made.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
20,https://w3id.org/isample/earthenv/esmaterialsample/individualsolidcube,Individual solid cube,"A sample that is a prepared cube of material, intended as a sample of that material.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
21,https://w3id.org/isample/earthenv/esmaterialsample/individualsolidcylinder,Individual solid cylinder,A cylindrical peice of consolidated material not obtained by subsurface drilling.  Cores drilled for paleomagnetic analysis are a common example. Tree ring cores are another...,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
25,https://w3id.org/isample/vocabulary/materialsampleobjecttype/fluidincontainer,Fluid in container,"Material sample is a liquid, gas, or mixed dominantly fluid phase material that is necessarily inside some container. Fluids might include minor solid particles. The container is typically human made, but also includes natural fluid containers, e.g. a fluid inclusion in a mineral grain.  Fluids might be colloids, foams, gels, or suspensions. The sample is the fluid substance; fluid samples collected to analyze the contained biome should be considered 'Biome aggregation sample'",https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample,152,,
27,sesot:squeezecake,Squeeze cake,"Small piece of whole round core after pore water has been extracted. A 5cm – 15cm piece of core is put in a titanium container and sealed with a fitted piston. The container is then placed on a hydraulic press and pressed under up to 35,000 lbs to extract the pore water. Squeezing destroys the sediment structure",https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
28,https://w3id.org/isample/earthenv/esmaterialsample/thinsection,Thin section,"thin sliver of rock cut from a sample with a diamond saw and ground optically flat, and then mounted on a glass slide and ground smooth using progressively finer abrasive grit until the sample is 30 microns thick.",https://w3id.org/isample/earthenv/esmaterialsample/mountedsection,144,,
29,https://w3id.org/isample/earthenv/esmaterialsample/glassslidesmear,Glass slide smear,sample from a cell culture (or other microparticulate suspension) spread into a thin layer on a glass slide for optical investigation,https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
30,https://w3id.org/isample/earthenv/esmaterialsample/mechanicalfraction,Mechanical fraction,"defined by sample preparation involving mechanical processing, e.g. grain size, density, or grain shape separation.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
31,https://w3id.org/isample/earthenv/esmaterialsample/dissolvedchemicalfraction,Dissolved chemical fraction,A fluid concentrating some constituent of interest from a parent sample. The dissolved constituent is actually the sample material of interest.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
32,https://w3id.org/isample/earthenv/esmaterialsample/preparedpowder,Prepared powder,"distinguish from particulate in that particulate is sampled as a micron-size aggregate, whereas this material is ground to a powder for subsequent analysis; it is a powder as a function of some preparation process (e.g. chemical precipitation)",https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
